PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,GroupId,GroupSize,is_alone,Cabin_side,Cabin_deck_grouped,Cabin_num,LastName,spend_money
0001_01,Europa,False,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,False,1,1,True,P,Other,0.0,Ofracculy,0.0
0002_01,Earth,False,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,True,2,1,True,S,F,0.0,Vines,736.0
0003_01,Europa,False,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,False,3,2,False,S,Other,0.0,Susent,10383.0
0003_02,Europa,False,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,False,3,2,False,S,Other,0.0,Susent,5176.0
0004_01,Earth,False,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,True,4,1,True,S,F,1.0,Santantines,1091.0
0005_01,Earth,False,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,True,5,1,True,P,F,0.0,Hinetthews,774.0
0006_01,Earth,False,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,True,6,2,False,S,F,2.0,Jacostaffey,1584.0
0006_02,Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,139.63432400932402,True,6,2,False,S,G,0.0,Jacostaffey,0.0
0007_01,Earth,False,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,True,7,1,True,S,F,3.0,Beston,1018.0
0008_01,Europa,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,True,8,3,False,P,Other,1.0,Flatic,0.0
0008_02,Europa,True,TRAPPIST-1e,34.0,False,0.0,0.0,1.3360121633362294,0.0,0.0,True,8,3,False,P,Other,1.0,Flatic,0.0
0008_03,Europa,False,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,True,8,3,False,P,Other,1.0,Flatic,8157.0
0009_01,Mars,False,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,True,9,1,True,P,F,1.0,Barne,1309.0
0010_01,Earth,False,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,False,10,1,True,S,G,1.0,Baketton,809.0
0011_01,Earth,False,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,True,11,1,True,P,F,2.0,Bertsontry,1003.0
0012_01,Earth,False,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,False,12,1,True,P,G,1411.0,Pooles,908.0
0014_01,Mars,False,55 Cancri e,27.0,False,1286.0,122.0,274.05198511166253,0.0,0.0,False,14,1,True,P,F,3.0,Eccle,2297.552279928365
0015_01,Earth,False,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,False,15,1,True,P,F,4.0,Hughriend,638.0
0016_01,Mars,True,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,True,16,1,True,P,F,5.0,Upead,0.0
0017_01,Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,17,2,False,P,G,0.0,Brighttt,0.0
0017_02,Earth,False,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,False,17,2,False,P,F,6.0,Brighttt,1092.0
0020_01,Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,False,20,6,False,S,Other,0.0,Brantuarez,0.0
0020_02,Earth,True,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,False,20,6,False,S,Other,0.0,Brantuarez,0.0
0020_03,Earth,True,55 Cancri e,29.0,False,0.0,0.0,1.3360121633362294,0.0,0.0,False,20,6,False,S,Other,0.0,Mcfaddennon,0.0
0020_04,Earth,False,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,True,20,6,False,S,Other,0.0,Jacostanley,0.0
0020_05,Earth,True,PSO J318.5-22,1.0,False,0.0,0.0,0.0,0.0,0.0,False,20,6,False,S,Other,0.0,Brantuarez,0.0
0020_06,Earth,False,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,False,20,6,False,S,Other,0.0,Mcfaddennon,0.0
0022_01,Mars,False,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,False,22,1,True,P,Other,0.0,,1051.0
0024_01,Europa,True,TRAPPIST-1e,62.0,False,0.0,0.0,1.3360121633362294,0.0,0.0,True,24,1,True,S,Other,2.0,Fullided,0.0
0025_01,Earth,False,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,False,25,1,True,S,F,6.0,Brookenson,1223.0
0026_01,Europa,False,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,False,26,1,True,P,Other,0.0,Unconary,7861.0
0028_01,Mars,False,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,False,28,1,True,P,F,8.0,Mare,1309.0
0030_01,Earth,False,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,False,30,1,True,S,G,4.0,Morsentley,1821.0
0031_01,Mars,False,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,True,31,3,False,P,F,9.0,Datie,2854.0
0031_02,Mars,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,31,3,False,P,F,9.0,Datie,0.0
0031_03,Mars,False,TRAPPIST-1e,20.0,False,351.3662076665426,0.0,1750.0,990.0,0.0,True,31,3,False,P,F,9.0,Datie,2297.552279928365
0034_01,Europa,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,34,1,True,S,Other,1.0,Oingwhedly,0.0
0035_01,Mars,False,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,False,35,1,True,P,Other,1.0,Butte,2699.0
0036_01,Earth,False,55 Cancri e,15.0,0.0,0.0,492.0,48.0,20.0,401.0,False,36,1,True,S,F,8.0,Leodger,961.0
0038_01,Earth,False,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,False,38,1,True,S,F,10.0,Wheelez,3355.0
0039_01,Earth,True,55 Cancri e,30.0,False,0.0,0.0,1.3360121633362294,0.0,0.0,False,39,1,True,P,G,1.0,Batthewitt,0.0
0041_01,Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,True,41,1,True,P,G,2.0,Moodsey,0.0
0043_01,Europa,False,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,False,43,1,True,P,Other,3.0,Cylistrand,3575.0
0044_01,Earth,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,False,44,3,False,P,G,3.0,Coopelandez,0.0
0044_02,Earth,True,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,True,44,3,False,P,G,3.0,Coopelandez,0.0
0044_03,Earth,True,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,True,44,3,False,P,G,3.0,Coopelandez,0.0
0045_01,Mars,False,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,False,45,2,False,P,F,10.0,Chmad,1214.0
